age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,location,offspring,pets,smokes,speaks
34,single,f,straight,average,mostly anything,socially,never,graduated from college/university,asian,62,60000,other,"el cerrito, california","doesn't have kids, but wants them",likes dogs and has cats,when drinking,english (fluently)
50,single,f,straight,average,mostly anything,socially,never,graduated from college/university,white,64,70000,education / academia,"berkeley, california",has kids,has dogs and has cats,no,"english (fluently), french (okay)"
39,single,m,straight,fit,mostly vegetarian,rarely,never,graduated from masters program,white,69,80000,science / tech / engineering,"berkeley, california","doesn't have kids, but might want them",likes dogs and likes cats,no,"english (okay), c++ (poorly)"
42,single,f,straight,fit,strictly anything,rarely,sometimes,graduated from college/university,white,64,80000,other,"san rafael, california",doesn't want kids,has cats,no,"english, english"
47,single,m,straight,average,mostly anything,rarely,never,graduated from two-year college,white,69,50000,construction / craftsmanship,"san francisco, california","doesn't have kids, but might want them",has dogs and likes cats,no,"english (fluently), spanish (okay)"
61,single,f,straight,average,mostly anything,socially,never,dropped out of college/university,white,63,70000,retired,"walnut creek, california","doesn't have kids, and doesn't want any",has dogs and has cats,trying to quit,"english, english"
34,single,f,straight,curvy,mostly anything,rarely,never,graduated from college/university,white,68,40000,artistic / musical / writer,"hayward, california","doesn't have kids, but wants them",likes dogs and has cats,no,"english (fluently), spanish (fluently), french (poorly)"
35,single,m,straight,average,vegan,socially,never,graduated from ph.d program,asian,71,50000,other,"oakland, california",doesn't have kids,likes dogs and has cats,no,"english (fluently), latin (poorly), chinese (okay), c++ (poorly)"
47,single,m,straight,fit,anything,socially,never,high school,white,76,60000,construction / craftsmanship,"san mateo, california",has kids,likes dogs and has cats,no,english
44,single,m,straight,average,strictly anything,socially,never,graduated from college/university,white,72,100000,construction / craftsmanship,"san francisco, california",has kids,likes dogs and likes cats,trying to quit,"english (fluently), german (okay)"
47,single,f,straight,fit,mostly vegetarian,socially,never,graduated from college/university,white,66,100000,artistic / musical / writer,"mill valley, california",has a kid,likes dogs and likes cats,no,"english (fluently), french (fluently), japanese (poorly)"
23,single,m,straight,overweight,strictly anything,very often,often,graduated from college/university,white,72,20000,student,"san francisco, california","has a kid, and wants more",likes dogs and dislikes cats,no,english
59,single,m,straight,fit,mostly anything,socially,never,graduated from college/university,asian,64,60000,education / academia,"san rafael, california","has a kid, and might want more",dislikes dogs and dislikes cats,no,"english, chinese, tagalog"
30,available,m,straight,athletic,strictly anything,socially,never,working on masters program,white,75,100000,military,"san francisco, california","doesn't have kids, but wants them",likes dogs and likes cats,no,"english (fluently), portuguese (poorly)"
18,single,m,straight,athletic,strictly anything,socially,never,working on college/university,white,73,20000,student,"sausalito, california","doesn't have kids, but might want them",likes dogs and likes cats,no,english (fluently)
23,single,m,straight,average,mostly anything,socially,sometimes,working on college/university,asian,71,20000,artistic / musical / writer,"san francisco, california",doesn't have kids,has dogs and likes cats,yes,"english (fluently), korean (okay), french (poorly)"
23,single,m,straight,fit,mostly anything,socially,never,graduated from college/university,white,67,30000,artistic / musical / writer,"san francisco, california","doesn't have kids, and doesn't want any",likes dogs and likes cats,no,"english (fluently), chinese (okay)"
25,single,m,straight,athletic,mostly anything,socially,never,graduated from two-year college,hispanic / latin,63,30000,sales / marketing / biz dev,"redwood city, california","doesn't have kids, but might want them",likes dogs,trying to quit,english
30,single,f,straight,fit,mostly anything,rarely,sometimes,college/university,white,66,40000,sales / marketing / biz dev,"san francisco, california","doesn't have kids, and doesn't want any",likes dogs and likes cats,no,"english (fluently), spanish (poorly)"
31,available,m,straight,thin,anything,socially,never,graduated from college/university,"hispanic / latin, white",74,20000,construction / craftsmanship,"berkeley, california","doesn't have kids, but might want them",likes dogs and has cats,when drinking,"english (fluently), spanish (okay)"
36,single,m,straight,a little extra,mostly anything,not at all,never,graduated from two-year college,"asian, pacific islander",67,20000,other,"vallejo, california","doesn't have kids, but wants them",has dogs and has cats,trying to quit,"english (fluently), tagalog (okay)"
31,single,m,straight,average,mostly anything,socially,never,graduated from two-year college,black,69,40000,transportation,"oakland, california","has kids, and might want more",likes dogs and likes cats,trying to quit,english (fluently)
22,single,m,straight,athletic,mostly vegetarian,socially,often,graduated from college/university,white,68,60000,entertainment / media,"san francisco, california",doesn't want kids,likes dogs and has cats,trying to quit,"english, japanese"
38,single,f,straight,curvy,mostly anything,rarely,never,graduated from college/university,pacific islander,68,50000,banking / financial / real estate,"san leandro, california",has kids,likes dogs and likes cats,no,"english (fluently), spanish (fluently), hawaiian (fluently)"
25,single,m,straight,fit,mostly vegetarian,socially,never,graduated from two-year college,"pacific islander, hispanic / latin",68,50000,medicine / health,"oakland, california","doesn't have kids, but might want them",has dogs and likes cats,sometimes,"english (fluently), spanish (okay), tagalog (poorly)"
24,single,m,straight,athletic,mostly anything,socially,never,working on college/university,white,74,40000,medicine / health,"richmond, california",doesn't have kids,likes dogs,no,"english (fluently), croatian (okay)"
21,single,m,straight,athletic,mostly kosher,rarely,never,working on college/university,black,66,40000,artistic / musical / writer,"san francisco, california","doesn't have kids, but might want them",likes dogs and likes cats,sometimes,"english (fluently), spanish (poorly), portuguese (poorly)"
20,single,m,straight,average,mostly anything,socially,sometimes,working on two-year college,asian,67,20000,other,"san francisco, california","doesn't have kids, but might want them",likes dogs and likes cats,trying to quit,"english (fluently), chinese (okay), japanese (poorly)"
24,single,m,straight,average,strictly vegetarian,very often,sometimes,graduated from college/university,white,68,30000,artistic / musical / writer,"san francisco, california","doesn't have kids, and doesn't want any",likes dogs and likes cats,when drinking,"english (fluently), french (poorly), spanish (poorly)"
25,single,m,straight,athletic,mostly anything,socially,never,working on masters program,asian,67,100000,computer / hardware / software,"mountain view, california",doesn't have kids,likes dogs and likes cats,no,english (fluently)
36,single,m,straight,fit,strictly anything,not at all,never,graduated from masters program,white,73,150000,science / tech / engineering,"oakland, california","doesn't have kids, but wants them",likes dogs and likes cats,no,english (poorly)
21,single,f,straight,curvy,anything,socially,never,working on college/university,"asian, black",66,20000,sales / marketing / biz dev,"oakland, california","doesn't have kids, but wants them",has dogs,no,english
34,single,f,straight,average,mostly anything,socially,sometimes,dropped out of space camp,white,64,40000,entertainment / media,"san francisco, california",doesn't want kids,likes dogs and likes cats,no,english (fluently)
34,single,m,bisexual,curvy,strictly anything,socially,never,graduated from masters program,"white, other",68,100000,computer / hardware / software,"san francisco, california","doesn't have kids, but might want them",has cats,no,"english (fluently), c++ (fluently), lisp (okay), spanish (poorly), japanese (poorly)"
40,single,m,straight,average,mostly anything,rarely,never,graduated from space camp,white,70,100000,science / tech / engineering,"palo alto, california","doesn't have kids, but wants them",likes dogs and likes cats,no,"english (fluently), c++ (poorly)"
23,available,m,straight,average,strictly vegetarian,rarely,sometimes,dropped out of two-year college,white,71,1000000,unemployed,"oakland, california","doesn't have kids, and doesn't want any",likes dogs and likes cats,no,english
22,single,f,straight,average,mostly anything,rarely,never,working on high school,white,61,20000,other,"hayward, california",has a kid,has dogs,no,english (fluently)
31,single,f,straight,fit,mostly vegetarian,socially,never,graduated from masters program,white,66,70000,computer / hardware / software,"san mateo, california","doesn't have kids, but wants them",likes dogs and likes cats,no,"english (fluently), russian (fluently), ukrainian (fluently)"
21,single,f,straight,fit,mostly vegetarian,socially,never,working on two-year college,"native american, white",68,20000,other,"san francisco, california",doesn't have kids,has dogs and likes cats,no,english (fluently)
24,single,m,straight,overweight,mostly anything,not at all,never,graduated from college/university,asian,68,20000,unemployed,"san francisco, california","doesn't have kids, but might want them",has dogs and dislikes cats,no,english (fluently)
28,single,m,straight,fit,mostly anything,socially,never,graduated from college/university,white,69,100000,computer / hardware / software,"san francisco, california",doesn't want kids,likes dogs and dislikes cats,no,"english (fluently), spanish (poorly)"
18,single,m,straight,average,mostly anything,socially,sometimes,working on college/university,"hispanic / latin, white",71,20000,student,"alameda, california","doesn't have kids, but might want them",likes dogs and likes cats,when drinking,"english (okay), sanskrit (fluently), c++ (poorly)"
25,single,m,straight,athletic,mostly anything,socially,never,graduated from college/university,other,69,30000,sales / marketing / biz dev,"san francisco, california","doesn't have kids, and doesn't want any",likes dogs and likes cats,no,"english (fluently), thai (fluently), hindi (poorly)"
30,single,m,straight,athletic,mostly anything,socially,never,graduated from masters program,asian,69,250000,executive / management,"san francisco, california","doesn't have kids, but wants them",likes dogs,no,"english (fluently), chinese (poorly), spanish (poorly)"
34,single,f,straight,a little extra,anything,socially,never,graduated from college/university,white,67,50000,education / academia,"san mateo, california","doesn't have kids, but wants them",likes dogs and has cats,no,english
25,single,m,straight,fit,mostly anything,socially,never,graduated from college/university,white,70,80000,computer / hardware / software,"san francisco, california",doesn't have kids,likes dogs and likes cats,no,"english (fluently), spanish (okay), french (poorly), chinese (poorly), latin (okay)"
25,single,f,straight,athletic,strictly anything,socially,never,working on college/university,white,68,1000000,artistic / musical / writer,"san francisco, california","doesn't have kids, but wants them",likes dogs,no,english (fluently)
37,single,m,straight,a little extra,strictly anything,not at all,sometimes,graduated from college/university,white,72,70000,computer / hardware / software,"alameda, california","doesn't have kids, but might want them",likes dogs and has cats,no,english
30,single,f,straight,fit,mostly anything,socially,never,dropped out of space camp,white,62,50000,other,"san francisco, california","doesn't have kids, but might want them",has dogs and likes cats,no,"english (fluently), sign language (okay)"
23,single,m,straight,athletic,anything,socially,never,working on ph.d program,white,75,20000,student,"stanford, california","doesn't have kids, and doesn't want any",likes dogs and likes cats,no,"english (fluently), c++ (poorly), french (poorly)"
22,single,f,straight,curvy,mostly vegetarian,socially,never,dropped out of college/university,"white, other",63,30000,artistic / musical / writer,"san francisco, california","doesn't have kids, but wants them",has cats,no,"english (fluently), greek (poorly), spanish (poorly)"
28,single,m,straight,average,mostly anything,socially,never,graduated from high school,white,73,100000,computer / hardware / software,"palo alto, california","doesn't have kids, but might want them",likes dogs and likes cats,no,"english (fluently), swedish (fluently), spanish (poorly), french (poorly), german (poorly)"
27,single,m,straight,fit,mostly anything,socially,sometimes,graduated from college/university,"asian, white",72,40000,executive / management,"san francisco, california","doesn't have kids, but wants them",likes dogs,when drinking,english
25,single,m,straight,thin,strictly vegetarian,not at all,never,dropped out of college/university,hispanic / latin,67,20000,computer / hardware / software,"oakland, california","doesn't have kids, and doesn't want any",likes dogs and likes cats,no,"english (fluently), spanish (okay)"
27,single,m,straight,athletic,mostly vegan,socially,never,graduated from college/university,other,71,70000,computer / hardware / software,"oakland, california",doesn't have kids,has dogs,no,"english (fluently), hebrew (okay)"
24,single,m,straight,athletic,strictly anything,socially,sometimes,space camp,white,74,20000,sales / marketing / biz dev,"san francisco, california",doesn't have kids,likes dogs and likes cats,no,"english (fluently), sanskrit (fluently)"
25,single,m,straight,fit,mostly anything,socially,sometimes,graduated from college/university,white,70,20000,artistic / musical / writer,"oakland, california",doesn't want kids,likes dogs and likes cats,no,"english (fluently), spanish (poorly), hindi (poorly)"
23,single,m,straight,thin,strictly anything,socially,sometimes,working on college/university,hispanic / latin,71,60000,computer / hardware / software,"san francisco, california",doesn't have kids,likes dogs and likes cats,when drinking,"english (fluently), spanish (okay), lisp (fluently)"
24,single,m,straight,athletic,mostly anything,socially,never,graduated from college/university,white,73,40000,entertainment / media,"san carlos, california","doesn't have kids, but wants them",likes dogs and likes cats,no,english
35,single,m,straight,average,mostly anything,socially,never,graduated from college/university,white,72,150000,computer / hardware / software,"san rafael, california",might want kids,has dogs,no,english
43,single,m,straight,athletic,mostly vegetarian,rarely,never,working on two-year college,black,71,40000,medicine / health,"oakland, california","doesn't have kids, and doesn't want any",dislikes dogs and likes cats,yes,english
27,single,m,straight,full figured,strictly anything,socially,never,dropped out of college/university,white,75,80000,computer / hardware / software,"san francisco, california","doesn't have kids, but might want them",likes dogs,when drinking,english (poorly)
37,single,m,straight,overweight,mostly anything,socially,never,graduated from college/university,white,67,60000,executive / management,"alameda, california","doesn't have kids, but might want them",likes dogs and likes cats,no,"english (fluently), spanish (okay), italian (poorly), german (poorly)"
22,single,m,straight,average,anything,socially,never,graduated from college/university,indian,69,80000,computer / hardware / software,"san francisco, california",doesn't have kids,likes dogs,no,"english (fluently), hindi (okay), tamil (okay)"
28,single,m,straight,fit,mostly anything,socially,never,working on med school,white,72,50000,political / government,"san francisco, california",doesn't have kids,likes dogs and likes cats,no,"english (fluently), other (fluently)"
36,single,m,straight,athletic,strictly anything,socially,never,graduated from masters program,white,75,150000,executive / management,"san francisco, california",doesn't have kids,likes dogs,no,"english (fluently), greek (okay)"
32,single,m,straight,athletic,mostly anything,socially,never,graduated from college/university,hispanic / latin,74,70000,executive / management,"san carlos, california",has kids,has dogs,no,"english (fluently), spanish (fluently)"
19,single,f,straight,average,mostly anything,socially,never,working on two-year college,"black, hispanic / latin",64,20000,sales / marketing / biz dev,"oakland, california","doesn't have kids, but wants them",has dogs,when drinking,english
25,single,f,straight,fit,mostly anything,socially,never,graduated from college/university,white,65,40000,clerical / administrative,"palo alto, california",doesn't have kids,has dogs,no,"english, italian (okay)"
45,single,f,straight,athletic,mostly anything,socially,never,graduated from college/university,white,66,100000,medicine / health,"stanford, california",doesn't have kids,likes dogs and likes cats,no,"english (fluently), german (okay), spanish (poorly)"
26,single,m,straight,skinny,strictly anything,not at all,never,graduated from college/university,asian,70,20000,other,"san francisco, california","doesn't have kids, but might want them",has dogs and has cats,no,"english (fluently), chinese (fluently), japanese (poorly), c++ (poorly)"
38,available,m,straight,athletic,anything,socially,sometimes,dropped out of college/university,white,69,150000,executive / management,"san carlos, california","has kids, but doesn't want more",has dogs,no,english (fluently)
27,single,f,straight,average,mostly anything,often,sometimes,working on college/university,white,66,40000,entertainment / media,"san francisco, california","doesn't have kids, and doesn't want any",likes dogs and has cats,no,english (fluently)
50,single,m,straight,athletic,mostly vegetarian,not at all,never,graduated from college/university,white,73,150000,science / tech / engineering,"palo alto, california",has a kid,likes cats,no,"english (fluently), french (poorly)"
22,single,f,straight,average,anything,rarely,never,working on college/university,asian,64,20000,student,"san francisco, california","doesn't have kids, but might want them",likes dogs and dislikes cats,no,"english (okay), chinese (fluently)"
27,single,m,straight,athletic,strictly anything,socially,never,graduated from college/university,asian,69,50000,military,"san mateo, california","doesn't have kids, but wants them",likes dogs and likes cats,trying to quit,"english (fluently), chinese (okay)"
61,single,m,gay,average,mostly anything,not at all,never,working on two-year college,white,66,50000,political / government,"oakland, california","doesn't have kids, but might want them",likes dogs and likes cats,no,english (okay)
24,single,f,straight,curvy,mostly anything,socially,sometimes,working on college/university,white,70,20000,artistic / musical / writer,"san francisco, california",doesn't have kids,likes dogs and has cats,trying to quit,"english (poorly), spanish (poorly)"
48,single,m,straight,average,strictly anything,socially,never,graduated from two-year college,white,77,60000,transportation,"san francisco, california",has kids,likes dogs and likes cats,yes,english
32,single,f,straight,average,anything,rarely,never,graduated from college/university,asian,61,80000,science / tech / engineering,"san francisco, california",doesn't have kids,likes cats,no,english
18,single,f,straight,thin,strictly vegetarian,socially,sometimes,working on college/university,"hispanic / latin, white",61,20000,student,"san francisco, california","doesn't have kids, and doesn't want any",has dogs and likes cats,sometimes,english
51,single,m,straight,fit,mostly anything,not at all,never,dropped out of college/university,white,70,100000,construction / craftsmanship,"redwood city, california",has a kid,has dogs,no,"english (fluently), spanish (okay)"
42,single,m,straight,overweight,mostly anything,socially,never,graduated from college/university,"white, other",68,40000,science / tech / engineering,"lafayette, california",has a kid,likes dogs and likes cats,no,"english (fluently), german (poorly), italian (poorly)"
42,single,m,straight,average,strictly vegetarian,socially,never,graduated from two-year college,asian,70,60000,sales / marketing / biz dev,"el sobrante, california","doesn't have kids, but might want them",likes dogs and likes cats,yes,"english (fluently), hindi (fluently)"
28,single,m,straight,fit,mostly anything,socially,never,graduated from college/university,white,69,100000,computer / hardware / software,"san francisco, california",doesn't have kids,likes dogs and likes cats,trying to quit,"english (fluently), spanish (fluently)"
22,single,f,bisexual,thin,mostly anything,socially,sometimes,working on college/university,"asian, pacific islander, white",64,20000,entertainment / media,"oakland, california","doesn't have kids, and doesn't want any",likes dogs and dislikes cats,trying to quit,"english (fluently), spanish (okay)"
20,single,m,straight,thin,anything,socially,sometimes,graduated from college/university,white,70,20000,construction / craftsmanship,"berkeley, california","doesn't have kids, and doesn't want any",likes dogs and likes cats,no,english (fluently)
53,seeing someone,m,straight,fit,mostly anything,socially,sometimes,dropped out of masters program,white,72,150000,sales / marketing / biz dev,"lafayette, california",doesn't want kids,likes dogs and has cats,no,"english (fluently), japanese (okay), french (poorly)"
23,single,m,straight,fit,strictly anything,socially,sometimes,graduated from masters program,white,67,60000,construction / craftsmanship,"oakland, california","doesn't have kids, but might want them",has dogs and has cats,sometimes,"english, german (fluently), french (okay), lisp (fluently), yiddish (poorly)"
26,single,f,straight,athletic,mostly anything,socially,never,graduated from college/university,white,65,30000,other,"oakland, california",wants kids,has dogs,no,english
31,single,m,straight,fit,mostly anything,socially,never,graduated from college/university,"hispanic / latin, white",69,100000,executive / management,"san francisco, california",doesn't have kids,dislikes cats,no,"english (fluently), spanish (fluently), french (fluently), italian (okay)"
19,single,f,straight,curvy,mostly anything,not at all,never,working on two-year college,hispanic / latin,59,20000,student,"san francisco, california",has a kid,likes dogs,no,"english (fluently), spanish (fluently)"
25,single,m,straight,average,mostly anything,socially,never,graduated from high school,other,65,150000,sales / marketing / biz dev,"redwood city, california",doesn't have kids,likes dogs and likes cats,when drinking,english
22,single,f,gay,thin,strictly vegan,socially,sometimes,working on college/university,white,63,20000,other,"san francisco, california",doesn't have kids,likes dogs and has cats,sometimes,english
30,single,m,straight,fit,mostly anything,socially,never,graduated from college/university,hispanic / latin,67,40000,other,"oakland, california","doesn't have kids, but wants them",likes dogs and has cats,no,"english (fluently), spanish (fluently)"
33,single,m,straight,a little extra,mostly anything,socially,never,dropped out of college/university,white,70,30000,medicine / health,"san francisco, california","doesn't have kids, but might want them",likes cats,no,"english (fluently), spanish (poorly), korean (poorly), japanese (poorly)"
26,single,m,straight,fit,mostly anything,often,sometimes,graduated from college/university,black,67,1000000,artistic / musical / writer,"san francisco, california",doesn't have kids,likes dogs,trying to quit,"english (fluently), japanese (poorly)"
35,single,m,straight,fit,anything,socially,never,graduated from masters program,white,76,150000,science / tech / engineering,"palo alto, california","doesn't have kids, but wants them",likes dogs and has cats,no,"english (fluently), french (fluently), german (fluently), spanish (okay), swedish (okay)"
39,single,f,straight,curvy,anything,not at all,never,working on two-year college,white,63,20000,medicine / health,"hayward, california",has kids,has dogs and likes cats,no,english
46,single,m,straight,athletic,mostly anything,often,never,graduated from college/university,white,71,250000,other,"san francisco, california",doesn't want kids,has dogs,no,english (fluently)
40,available,m,straight,average,vegetarian,often,never,graduated from college/university,black,71,50000,entertainment / media,"oakland, california",doesn't want kids,likes dogs and has cats,no,"english (fluently), french (poorly), spanish (poorly)"
43,single,m,straight,average,mostly anything,socially,never,graduated from masters program,white,72,100000,other,"san francisco, california",doesn't have kids,likes dogs and has cats,no,"english (fluently), french (okay), spanish (okay), italian (okay), russian (poorly)"
27,single,f,straight,a little extra,mostly anything,socially,sometimes,graduated from college/university,white,60,20000,sales / marketing / biz dev,"san francisco, california","doesn't have kids, but wants them",likes dogs and likes cats,no,english (fluently)
40,single,f,straight,average,mostly anything,rarely,never,graduated from college/university,black,67,40000,other,"oakland, california",doesn't have kids,likes dogs and likes cats,no,english (fluently)
41,single,m,straight,thin,anything,socially,never,two-year college,"pacific islander, white",73,50000,construction / craftsmanship,"san mateo, california",has kids,has dogs,yes,english
47,single,f,straight,fit,mostly anything,often,never,graduated from college/university,white,65,100000,banking / financial / real estate,"san francisco, california","doesn't have kids, but might want them",likes dogs and likes cats,no,"english (fluently), spanish (okay)"
45,single,m,straight,athletic,mostly anything,socially,never,graduated from masters program,white,73,100000,computer / hardware / software,"oakland, california","doesn't have kids, but might want them",likes dogs and has cats,no,english
36,single,f,straight,full figured,mostly anything,rarely,never,graduated from college/university,asian,69,100000,science / tech / engineering,"san mateo, california","doesn't have kids, but wants them",has dogs,no,"english (fluently), chinese (poorly)"
26,single,m,straight,a little extra,strictly anything,rarely,never,space camp,white,73,20000,retired,"san francisco, california","doesn't have kids, but wants them",has dogs,no,english
22,seeing someone,f,straight,curvy,strictly anything,socially,never,dropped out of college/university,"black, white",68,20000,other,"san mateo, california","doesn't have kids, and doesn't want any",has dogs and likes cats,no,english
30,single,m,straight,athletic,mostly other,socially,never,graduated from college/university,white,72,70000,construction / craftsmanship,"palo alto, california","doesn't have kids, but wants them",has dogs and dislikes cats,no,english
31,single,f,straight,fit,mostly other,socially,never,graduated from college/university,white,61,50000,computer / hardware / software,"redwood city, california","doesn't have kids, but wants them",has dogs and has cats,no,"english (fluently), spanish (poorly)"
30,single,f,straight,fit,mostly anything,socially,never,graduated from college/university,hispanic / latin,70,60000,sales / marketing / biz dev,"san francisco, california",doesn't have kids,likes dogs,when drinking,english
23,single,m,gay,average,strictly anything,often,often,working on college/university,white,76,20000,student,"palo alto, california",doesn't want kids,likes dogs and dislikes cats,when drinking,"english (fluently), german (fluently)"
25,single,f,bisexual,average,mostly anything,socially,sometimes,graduated from high school,white,64,20000,unemployed,"san francisco, california",doesn't want kids,has dogs and likes cats,no,english (fluently)
21,single,m,gay,average,mostly anything,not at all,never,working on college/university,white,68,20000,student,"berkeley, california",wants kids,likes dogs,no,"english (fluently), sign language (fluently)"
45,single,f,straight,thin,anything,socially,never,graduated from ph.d program,white,66,100000,other,"berkeley, california",has kids,has cats,no,english (fluently)
30,single,f,straight,fit,mostly anything,socially,never,graduated from college/university,white,68,100000,sales / marketing / biz dev,"san francisco, california","doesn't have kids, but wants them",has dogs,no,english
33,single,m,straight,athletic,mostly anything,socially,never,graduated from masters program,indian,68,150000,executive / management,"emeryville, california",doesn't have kids,likes dogs,no,english (fluently)
31,single,m,straight,jacked,mostly anything,socially,never,graduated from masters program,white,76,250000,banking / financial / real estate,"berkeley, california",doesn't want kids,has dogs,no,"english (fluently), spanish (fluently), thai (okay)"
40,single,m,bisexual,fit,mostly vegetarian,rarely,sometimes,graduated from college/university,asian,68,30000,artistic / musical / writer,"south san francisco, california",doesn't have kids,likes dogs and likes cats,no,"english (fluently), hindi (okay), french (fluently), german (okay), spanish (okay)"
24,single,f,straight,fit,strictly vegetarian,very often,never,graduated from high school,"middle eastern, hispanic / latin, other",65,20000,medicine / health,"san francisco, california","doesn't have kids, but might want them",has dogs and has cats,sometimes,"english (fluently), arabic (poorly), latin (fluently), other (okay)"
42,single,f,straight,a little extra,anything,rarely,never,graduated from college/university,white,63,60000,artistic / musical / writer,"alameda, california",doesn't have kids,likes dogs and has cats,no,english
27,seeing someone,f,straight,curvy,mostly vegetarian,socially,never,working on ph.d program,white,61,30000,science / tech / engineering,"oakland, california","doesn't have kids, but might want them",likes dogs and likes cats,no,"english (fluently), french (poorly)"
32,single,m,gay,average,strictly anything,socially,never,graduated from ph.d program,middle eastern,68,1000000,science / tech / engineering,"san francisco, california","doesn't have kids, but might want them",likes dogs and likes cats,no,"english (fluently), french (fluently), arabic (fluently), spanish (poorly)"
22,seeing someone,f,bisexual,thin,strictly anything,socially,never,working on college/university,white,64,20000,student,"hayward, california","doesn't have kids, but might want them",likes dogs and likes cats,no,"english (fluently), french (poorly)"
24,single,m,straight,a little extra,anything,socially,sometimes,dropped out of college/university,white,74,20000,other,"novato, california","doesn't have kids, but might want them",likes dogs and likes cats,trying to quit,english
25,single,m,straight,average,mostly anything,rarely,never,graduated from masters program,white,67,100000,computer / hardware / software,"san francisco, california",doesn't have kids,likes dogs and likes cats,no,"english (fluently), c++ (okay), french (fluently), german (poorly)"
56,single,f,straight,average,mostly anything,socially,never,graduated from college/university,white,64,100000,sales / marketing / biz dev,"redwood city, california",doesn't have kids,has cats,no,english (fluently)
29,single,m,straight,average,mostly vegetarian,socially,never,graduated from college/university,asian,70,50000,artistic / musical / writer,"san francisco, california",doesn't want kids,likes dogs and likes cats,yes,"english (fluently), spanish (okay), korean (okay)"
29,single,m,straight,average,mostly vegetarian,often,sometimes,graduated from ph.d program,white,69,40000,student,"palo alto, california",doesn't want kids,has dogs and likes cats,no,english (fluently)
33,single,m,straight,fit,mostly vegetarian,socially,never,graduated from college/university,white,72,1000000,sales / marketing / biz dev,"san mateo, california",has a kid,has cats,no,"english (fluently), chinese (poorly), french (okay), spanish (okay)"
