age	status	sex	orientation	body_type	diet	drinks	drugs	education	ethnicity	height	income	job	location	offspring	pets	smokes	speaks
33	single	f	straight	average	mostly anything	socially	never	graduated from two-year college	black	64	40000	education / academia	"vallejo, california"	has a kid		no	"english (fluently), english"
42	single	m	straight	average	strictly other	socially	sometimes	graduated from college/university	"black, native american, white"	75	20000	artistic / musical / writer	"san francisco, california"		likes dogs and likes cats	trying to quit	english (fluently)
32	single	m	straight			socially	never	graduated from college/university	other	68	60000	other	"san francisco, california"			no	english (fluently)
45	single	m	gay	athletic		socially	never	graduated from masters program	white	68	80000	entertainment / media	"san francisco, california"	has kids			english
45	single	m	straight	athletic		rarely	never	graduated from college/university	white	66	100000	construction / craftsmanship	"san francisco, california"	has a kid		no	english (fluently)
22	single	m	straight	athletic	strictly anything	socially	sometimes		white	70	40000		"san francisco, california"			when drinking	english
61	single	f	straight	average	mostly anything	socially	never	dropped out of college/university	white	63	70000	retired	"walnut creek, california"	"doesn't have kids, and doesn't want any"	has dogs and has cats	trying to quit	"english, english"
34	single	f	straight	athletic		socially	never	graduated from college/university	white	65	150000	sales / marketing / biz dev	"san francisco, california"	doesn't have kids	has dogs	no	"english (fluently), spanish (okay)"
32	single	m	straight	average		socially	never	working on college/university	white	74	20000	student	"redwood city, california"		likes dogs and likes cats	no	english (fluently)
34	single	f	straight	curvy	mostly anything	rarely	never	graduated from college/university	white	68	40000	artistic / musical / writer	"hayward, california"	"doesn't have kids, but wants them"	likes dogs and has cats	no	"english (fluently), spanish (fluently), french (poorly)"
32	single	m	straight	athletic		often		graduated from high school	"hispanic / latin, white, other"	72	30000	other	"redwood city, california"	has kids		yes	english
34	single	m	straight	average	mostly anything	rarely	never	dropped out of college/university	white	73	70000	computer / hardware / software	"san francisco, california"	"doesn't have kids, but might want them"		no	"english (fluently), russian (okay), c++ (okay)"
48	single	m	straight	fit	mostly anything	rarely	never	graduated from masters program	asian	69	70000	education / academia	"san mateo, california"	"doesn't have kids, but might want them"		no	english (fluently)
35	single	m	straight	average	vegan	socially	never	graduated from ph.d program	asian	71	50000	other	"oakland, california"	doesn't have kids	likes dogs and has cats	no	"english (fluently), latin (poorly), chinese (okay), c++ (poorly)"
32	single	m	straight	average		socially	never	graduated from two-year college	white	72	40000	other	"alameda, california"	has kids		yes	english
31	single	m	straight	athletic	mostly anything	socially	never	graduated from college/university	hispanic / latin	74	40000	education / academia	"berkeley, california"		likes cats	no	"english (fluently), spanish (okay)"
45	single	m	straight	athletic		socially		graduated from college/university	white	70	100000	executive / management	"san francisco, california"	has a kid		no	english
37	single	m	straight	fit	strictly vegetarian	not at all	never	dropped out of two-year college	white	76	20000	medicine / health	"berkeley, california"		likes dogs and likes cats	no	english
29	single	m	straight	athletic	mostly anything	socially		graduated from college/university	other	71	30000	education / academia	"san francisco, california"	doesn't have kids	likes dogs	when drinking	english
22	single	f	straight	jacked	mostly anything	often	sometimes	graduated from college/university	white	91	150000	sales / marketing / biz dev	"san francisco, california"		likes dogs and likes cats	no	"english, afrikaans (okay), french (fluently), spanish (fluently)"
30	single	m	straight			often	sometimes	working on college/university	"middle eastern, white"	70	60000	computer / hardware / software	"oakland, california"	doesn't want kids		no	"english (fluently), hebrew, spanish"
25	single	m	straight	athletic		socially	never	graduated from space camp	white	72	150000	science / tech / engineering	"santa cruz, california"		likes dogs	no	"english, c++, spanish (poorly), italian (poorly)"
30	single	m	straight	fit	mostly anything	socially			"native american, white"	72	50000	other	"redwood city, california"		likes dogs and likes cats	no	"english, greek, albanian"
31	single	m	bisexual	used up		very often	often	dropped out of med school	other	65	20000	artistic / musical / writer	"san francisco, california"	has kids	has dogs and dislikes cats		"english, c++ (fluently)"
47	single	m	straight	fit	anything	socially	never	high school	white	76	60000	construction / craftsmanship	"san mateo, california"	has kids	likes dogs and has cats	no	english
52	single	f	straight	fit		socially	never	graduated from college/university	white	62	70000	rather not say	"san francisco, california"		likes dogs and likes cats	no	"english, english, french"
31	single	f	straight	fit	mostly vegan	rarely	never	working on masters program	"native american, hispanic / latin, white"	64	30000	political / government	"berkeley, california"		likes dogs and likes cats	no	"english (fluently), spanish (fluently), arabic (okay), french (poorly), thai (poorly)"
44	single	m	straight	average	strictly anything	socially	never	graduated from college/university	white	72	100000	construction / craftsmanship	"san francisco, california"	has kids	likes dogs and likes cats	trying to quit	"english (fluently), german (okay)"
47	single	f	straight	fit	mostly vegetarian	socially	never	graduated from college/university	white	66	100000	artistic / musical / writer	"mill valley, california"	has a kid	likes dogs and likes cats	no	"english (fluently), french (fluently), japanese (poorly)"
33	single	m	straight	athletic	mostly anything	socially	sometimes	graduated from college/university	asian	70	100000	science / tech / engineering	"oakland, california"		likes dogs and likes cats	trying to quit	"english (fluently), korean (poorly), spanish (okay)"
35	single	m	straight	fit	mostly anything	often		graduated from masters program	"white, other"	73	100000	computer / hardware / software	"berkeley, california"	doesn't have kids	likes dogs and has cats	no	english (fluently)
25	single	m	straight	average	mostly anything	socially	never	graduated from college/university	asian	70	250000	banking / financial / real estate	"san francisco, california"	"doesn't have kids, but wants them"		no	"english, chinese, japanese"
24	single	f	straight	average		socially	never	graduated from college/university	white	72	20000	unemployed	"san francisco, california"		likes dogs and likes cats	no	"english (fluently), spanish (okay)"
23	single	m	straight	overweight	strictly anything	very often	often	graduated from college/university	white	72	20000	student	"san francisco, california"	"has a kid, and wants more"	likes dogs and dislikes cats	no	english
23	single	f	gay	full figured		rarely	never	graduated from college/university	white	66	20000	sales / marketing / biz dev	"san mateo, california"		has dogs and has cats	no	"english (fluently), spanish (okay)"
59	single	m	straight	fit	mostly anything	socially	never	graduated from college/university	asian	64	60000	education / academia	"san rafael, california"	"has a kid, and might want more"	dislikes dogs and dislikes cats	no	"english, chinese, tagalog"
27	single	m	straight	average		socially	never	working on college/university	asian	70	30000	sales / marketing / biz dev	"san francisco, california"			no	english
30	available	m	straight	athletic	strictly anything	socially	never	working on masters program	white	75	100000	military	"san francisco, california"	"doesn't have kids, but wants them"	likes dogs and likes cats	no	"english (fluently), portuguese (poorly)"
18	single	m	straight	athletic	strictly anything	socially	never	working on college/university	white	73	20000	student	"sausalito, california"	"doesn't have kids, but might want them"	likes dogs and likes cats	no	english (fluently)
20	single	m	straight	athletic	strictly anything	socially	sometimes	dropped out of space camp	"middle eastern, white"	67	20000	artistic / musical / writer	"oakland, california"				english (poorly)
27	single	m	straight	athletic	anything	socially	never	graduated from masters program	asian	68	60000		"san francisco, california"	doesn't have kids	likes dogs	no	"english (fluently), chinese (okay), japanese (poorly)"
32	single	m	straight	average	mostly anything	often		graduated from college/university	hispanic / latin	76	60000	banking / financial / real estate	"san francisco, california"	"doesn't have kids, but might want them"	has dogs	no	"english, spanish (fluently)"
31	single	m	straight	average	strictly anything	socially		graduated from two-year college	white	69	50000	executive / management	"san francisco, california"		likes dogs and likes cats	no	"english (fluently), french (poorly), spanish (poorly)"
26	single	f	straight	curvy	mostly anything	socially	never	working on two-year college	"hispanic / latin, white"	64	20000	student	"san francisco, california"		likes dogs and has cats	no	"english (fluently), spanish (okay)"
37	single	m	straight	fit	mostly anything	socially	sometimes	graduated from college/university	black	75	50000	transportation	"san francisco, california"		likes dogs and likes cats	no	"english (fluently), italian (fluently), german (poorly), japanese (poorly), russian (poorly)"
50	single	m	straight	fit	mostly anything	often		graduated from two-year college	white	68	100000	science / tech / engineering	"san francisco, california"	"doesn't have kids, and doesn't want any"		no	english (poorly)
32	single	m	straight	curvy	mostly anything	rarely	sometimes	graduated from space camp	"hispanic / latin, white"	83	70000	other	"hayward, california"		likes dogs and likes cats	when drinking	"english (fluently), spanish (poorly)"
23	single	m	straight	average	mostly anything	socially	sometimes	working on college/university	asian	71	20000	artistic / musical / writer	"san francisco, california"	doesn't have kids	has dogs and likes cats	yes	"english (fluently), korean (okay), french (poorly)"
28	single	m	straight	athletic	mostly anything	rarely	never	graduated from college/university	white	69	100000	medicine / health	"san francisco, california"	doesn't have kids		no	"english (fluently), portuguese (poorly)"
23	single	m	straight	fit	mostly anything	socially	never	graduated from college/university	white	67	30000	artistic / musical / writer	"san francisco, california"	"doesn't have kids, and doesn't want any"	likes dogs and likes cats	no	"english (fluently), chinese (okay)"
52	single	m	straight	a little extra	anything	socially	never	graduated from high school	hispanic / latin	70	70000	other	"castro valley, california"	has kids		no	english
25	single	m	straight	athletic	mostly anything	socially	never	graduated from two-year college	hispanic / latin	63	30000	sales / marketing / biz dev	"redwood city, california"	"doesn't have kids, but might want them"	likes dogs	trying to quit	english
35	single	m	straight	average	strictly vegetarian	not at all	sometimes	working on ph.d program	white	73	30000	student	"san francisco, california"			no	english
59	single	f	straight	thin		rarely	never	graduated from college/university	white	68	70000		"redwood city, california"	doesn't want kids		no	english
19	single	m	straight	a little extra		socially		graduated from high school	white	73	20000	other	"martinez, california"		has dogs and has cats	no	english
30	single	f	straight	fit	mostly anything	rarely	sometimes	college/university	white	66	40000	sales / marketing / biz dev	"san francisco, california"	"doesn't have kids, and doesn't want any"	likes dogs and likes cats	no	"english (fluently), spanish (poorly)"
38	single	f	straight	curvy	strictly anything	socially	sometimes	graduated from masters program	"indian, white, other"	67	80000	science / tech / engineering	"san francisco, california"		likes dogs and likes cats	no	"english, spanish (poorly), french (poorly)"
43	single	m	straight	athletic		socially		graduated from masters program	white	72	150000	other	"san francisco, california"	has a kid	likes dogs and likes cats	no	"english, spanish (okay), yiddish (poorly)"
64	single	f	straight	athletic	mostly vegetarian	socially	never	graduated from masters program	white	69	60000	banking / financial / real estate	"sausalito, california"			no	"english, spanish (poorly)"
35	single	m	straight	fit		rarely	sometimes	graduated from masters program	"black, white"	74	100000	executive / management	"san mateo, california"		likes dogs and likes cats	no	english
41	single	m	straight	average		socially	sometimes	graduated from college/university	white	73	100000	entertainment / media	"san francisco, california"	has a kid	has dogs	no	"english (fluently), french (poorly)"
26	single	f	straight	skinny	mostly anything	socially	never	graduated from college/university	white	64	50000	banking / financial / real estate	"emeryville, california"		likes dogs and dislikes cats	no	english (fluently)
31	available	m	straight	thin	anything	socially	never	graduated from college/university	"hispanic / latin, white"	74	20000	construction / craftsmanship	"berkeley, california"	"doesn't have kids, but might want them"	likes dogs and has cats	when drinking	"english (fluently), spanish (okay)"
34	single	m	straight	athletic		socially	never	graduated from college/university	white	71	100000	sales / marketing / biz dev	"san francisco, california"		likes dogs and dislikes cats	no	english
38	available	m	straight	athletic	anything	socially	never	graduated from masters program	asian	69	250000	banking / financial / real estate	"mountain view, california"	has a kid		no	"english, japanese (fluently)"
57	single	f	straight	skinny		socially	never	graduated from college/university	white	66	30000	medicine / health	"san francisco, california"	"has kids, but doesn't want more"		sometimes	"english, georgian, russian"
27	single	m	straight	skinny	mostly anything	often	never	graduated from law school	white	73	80000	law / legal services	"oakland, california"		likes dogs and likes cats	no	"english (fluently), german (okay)"
36	single	m	straight	fit		socially	never	graduated from college/university	white	67	60000	student	"sausalito, california"		likes dogs	no	"english (fluently), french (poorly)"
41	single	m	straight	athletic		socially	never	graduated from two-year college	white	71	70000	science / tech / engineering	"oakland, california"	"doesn't have kids, but wants them"	has dogs and likes cats	sometimes	"english (fluently), german (poorly)"
30	single	m	straight	athletic	strictly anything	socially	never	graduated from college/university	white	70	100000	banking / financial / real estate	"san francisco, california"		likes dogs and likes cats	no	"english, spanish (poorly), russian (okay)"
21	single	m	straight	a little extra	strictly anything	socially		dropped out of space camp	white	73	20000	transportation	"millbrae, california"	doesn't have kids	has dogs and has cats	sometimes	"english, spanish (poorly)"
29	single	m	straight	fit	mostly anything	socially	never	graduated from college/university	white	70	70000	science / tech / engineering	"pacifica, california"		has dogs and has cats	no	english (fluently)
23	single	m	straight	thin		socially	never	working on college/university	asian	72	500000	student	"stanford, california"			no	"english, chinese, c++ (fluently), latin (poorly), lisp (okay)"
28	single	m	straight	average	anything		never	working on college/university	"hispanic / latin, white, other"	69	50000	construction / craftsmanship	"san francisco, california"	"doesn't have kids, but might want them"	likes dogs and likes cats		"english (fluently), spanish (fluently), french (okay)"
29	single	m	straight	athletic		socially	never	graduated from college/university	"asian, white"	73	40000	hospitality / travel	"vallejo, california"		likes dogs and dislikes cats	no	"english (fluently), spanish (okay)"
30	single	m	straight	athletic		socially	never		hispanic / latin	70	40000	other	"vallejo, california"	has kids			english
36	single	m	straight	a little extra	mostly anything	not at all	never	graduated from two-year college	"asian, pacific islander"	67	20000	other	"vallejo, california"	"doesn't have kids, but wants them"	has dogs and has cats	trying to quit	"english (fluently), tagalog (okay)"
22	single	m	straight	fit	mostly vegetarian	socially	sometimes	graduated from college/university	white	67	50000	entertainment / media	"san francisco, california"		likes dogs and has cats		"english (fluently), japanese (okay)"
38	single	m	straight			not at all	never	graduated from masters program	"black, native american, hispanic / latin, white, other"	70	50000	entertainment / media	"san francisco, california"		likes dogs and likes cats	no	"english (fluently), spanish (okay), french (okay), portuguese (poorly), sign language (poorly)"
36	single	m	straight	athletic	mostly vegetarian	socially	never		hispanic / latin	62	30000	other	"walnut creek, california"		likes dogs and likes cats	no	"english (fluently), spanish (fluently)"
33	single	f	straight	thin	anything	socially	never	graduated from masters program	white	64	60000	education / academia	"san francisco, california"		has dogs	no	english
24	available	m	straight	fit	mostly anything	socially	never	graduated from college/university	white	69	50000	executive / management	"san francisco, california"			sometimes	"english, chinese (poorly)"
31	single	m	straight	average	mostly anything	socially	never	graduated from two-year college	black	69	40000	transportation	"oakland, california"	"has kids, and might want more"	likes dogs and likes cats	trying to quit	english (fluently)
22	single	m	straight	athletic	mostly vegetarian	socially	often	graduated from college/university	white	68	60000	entertainment / media	"san francisco, california"	doesn't want kids	likes dogs and has cats	trying to quit	"english, japanese"
23	single	f	bisexual	full figured	mostly anything	not at all		graduated from college/university	black	70	20000	other	"san francisco, california"	"has kids, but doesn't want more"	likes dogs and dislikes cats	no	"english (fluently), spanish (poorly)"
38	single	f	straight	curvy	mostly anything	rarely	never	graduated from college/university	pacific islander	68	50000	banking / financial / real estate	"san leandro, california"	has kids	likes dogs and likes cats	no	"english (fluently), spanish (fluently), hawaiian (fluently)"
27	seeing someone	m	straight	average		rarely	never	working on college/university	white	73	20000	student	"san rafael, california"			no	"english (fluently), spanish (poorly), sign language (poorly)"
25	single	m	gay	a little extra		socially	never	working on masters program	white	68	20000	education / academia	"oakland, california"			no	english
27	single	m	straight	average	strictly anything	often		graduated from college/university	white	74	40000	artistic / musical / writer	"san francisco, california"		likes dogs and likes cats	when drinking	english
25	single	m	straight	fit	mostly vegetarian	socially	never	graduated from two-year college	"pacific islander, hispanic / latin"	68	50000	medicine / health	"oakland, california"	"doesn't have kids, but might want them"	has dogs and likes cats	sometimes	"english (fluently), spanish (okay), tagalog (poorly)"
24	single	m	straight	athletic	mostly anything	socially	never	working on college/university	white	74	40000	medicine / health	"richmond, california"	doesn't have kids	likes dogs	no	"english (fluently), croatian (okay)"
59	single	m	straight	a little extra	mostly anything	often	sometimes	graduated from masters program	white	70	20000	sales / marketing / biz dev	"novato, california"	has kids		no	"english, french"
33	single	f	straight	thin	mostly anything	socially		graduated from masters program	indian	63	100000	executive / management	"san francisco, california"	"doesn't have kids, but wants them"	dislikes cats	no	"english (fluently), spanish (okay), portuguese (okay)"
21	single	m	straight	athletic	mostly kosher	rarely	never	working on college/university	black	66	40000	artistic / musical / writer	"san francisco, california"	"doesn't have kids, but might want them"	likes dogs and likes cats	sometimes	"english (fluently), spanish (poorly), portuguese (poorly)"
38	single	m	straight	overweight	mostly anything	rarely	never		white	74	30000	banking / financial / real estate	"pleasant hill, california"	"doesn't have kids, but wants them"	likes dogs and likes cats	no	english (fluently)
21	single	f	straight	fit	strictly vegetarian	socially	never	graduated from college/university		67	20000	education / academia	"oakland, california"	doesn't want kids	likes dogs and has cats	no	"english (fluently), french (fluently), spanish (okay), greek (okay), italian (poorly)"
32	seeing someone	m	straight	fit		socially	sometimes	graduated from college/university	"asian, white"	66	40000	education / academia	"san francisco, california"		likes dogs and likes cats	no	"english (fluently), japanese (fluently)"
29	single	m	straight	a little extra	anything	socially	never	graduated from high school	hispanic / latin	72	50000	medicine / health	"hayward, california"		has dogs	no	"english (fluently), spanish (fluently)"
25	available	f	bisexual	average	mostly anything	socially		graduated from college/university	white	65	60000	science / tech / engineering	"san francisco, california"			no	english (fluently)
35	single	m	straight	average	mostly anything	rarely	never	graduated from college/university	white	73	100000	science / tech / engineering	"martinez, california"		likes dogs	no	english
20	single	m	straight	average	mostly anything	socially	sometimes	working on two-year college	asian	67	20000	other	"san francisco, california"	"doesn't have kids, but might want them"	likes dogs and likes cats	trying to quit	"english (fluently), chinese (okay), japanese (poorly)"
27	single	m	straight	fit		socially		graduated from masters program	"hispanic / latin, white"	70	80000		"san francisco, california"			no	"english (fluently), spanish (okay)"
23	single	m	gay	thin	mostly anything	socially	sometimes	graduated from college/university	white	71	1000000	artistic / musical / writer	"san francisco, california"		likes dogs and likes cats	when drinking	"english (fluently), french (fluently), spanish (poorly)"
25	single	m	straight	a little extra	strictly anything	socially	sometimes		white	72	100000	computer / hardware / software	"san francisco, california"		likes dogs and likes cats	yes	english
44	single	m	straight	fit	mostly anything	socially		graduated from college/university	white	69	150000	science / tech / engineering	"san francisco, california"	"doesn't have kids, but might want them"	has cats	no	"english, french (poorly)"
25	single	m	straight	athletic		often	never	graduated from college/university	white	70	100000	science / tech / engineering	"san francisco, california"			no	"english, french (okay)"
30	single	m	straight	athletic		socially		working on ph.d program	other	70	20000	student	"berkeley, california"			no	english
39	single	m	straight	fit	mostly anything	socially	never	graduated from college/university	white	68	150000	law / legal services	"san francisco, california"		likes dogs and dislikes cats	no	english (fluently)
32	single	m	gay	thin		often	never	graduated from college/university	white	73	30000	other	"san francisco, california"		likes dogs and has cats	yes	"english (fluently), spanish (okay)"
24	single	m	straight	average	strictly vegetarian	very often	sometimes	graduated from college/university	white	68	30000	artistic / musical / writer	"san francisco, california"	"doesn't have kids, and doesn't want any"	likes dogs and likes cats	when drinking	"english (fluently), french (poorly), spanish (poorly)"
22	single	m	straight		mostly vegetarian	socially	sometimes	graduated from masters program	white	73	100000		"san francisco, california"			no	"english (fluently), spanish (fluently), french (poorly), korean (poorly)"
25	single	m	straight	athletic	mostly anything	socially	never	working on masters program	asian	67	100000	computer / hardware / software	"mountain view, california"	doesn't have kids	likes dogs and likes cats	no	english (fluently)
32	single	f	straight	thin	anything	socially	never	graduated from college/university	white	63	50000	medicine / health	"belmont, california"			no	english
